GEOID,STNAME,CTYNAME,Year,Vintage,BIRTHS,DEATHS,DOMESTICMIG,INTERNATIONALMIG,NATURALINC,NETMIG,NPOPCHG,POPESTIMATE,RESIDUAL
39041,Ohio,Delaware,2010,2019,557,249,527,70,308,597,,175099,22
39049,Ohio,Franklin,2010,2019,4506,1967,-630,930,2539,300,,1166202,-113
39041,Ohio,Delaware,2011,2019,2093,923,2025,234,1170,2259,,178535,7
39049,Ohio,Franklin,2011,2019,17857,8579,914,4408,9278,5322,,1180800,-2
39041,Ohio,Delaware,2012,2019,2108,904,1111,288,1204,1399,,181127,-11
39049,Ohio,Franklin,2012,2019,18129,8565,3474,5267,9564,8741,,1199045,-60
39041,Ohio,Delaware,2013,2019,2179,992,2691,339,1187,3030,,185380,36
39049,Ohio,Franklin,2013,2019,18612,8934,2923,7225,9678,10148,,1218878,7
39041,Ohio,Delaware,2014,2019,2248,992,2463,314,1256,2777,,189440,27
39049,Ohio,Franklin,2014,2019,18874,8873,3321,6175,10001,9496,,1238362,-13
39041,Ohio,Delaware,2015,2019,2157,1034,2330,489,1123,2819,,193391,9
39049,Ohio,Franklin,2015,2019,18874,9555,2345,7400,9319,9745,,1257386,-40
39041,Ohio,Delaware,2016,2019,2178,1117,2188,508,1061,2696,,197144,-4
39049,Ohio,Franklin,2016,2019,18999,9393,44,7441,9606,7485,,1274450,-27
39041,Ohio,Delaware,2017,2019,2139,1126,2352,370,1013,2722,,200870,-9
39049,Ohio,Franklin,2017,2019,18865,9721,5947,5923,9144,11870,,1295510,46
39041,Ohio,Delaware,2018,2019,2105,1161,3028,248,944,3276,,205091,1
39049,Ohio,Franklin,2018,2019,18567,10017,-218,3877,8550,3659,,1307698,-21
39041,Ohio,Delaware,2019,2019,2099,1237,3013,212,862,3225,,209177,-1
39049,Ohio,Franklin,2019,2019,18521,10027,-2967,3595,8494,628,,1316756,-64
39041,Ohio,Delaware,2020,2022,503,353,863,7,150,870,1019,215139,-1
39049,Ohio,Franklin,2020,2022,4382,3085,-1361,190,1297,-1171,557,1324357,431
39041,Ohio,Delaware,2021,2022,2083,1509,5392,211,574,5603,6047,221186,-130
39049,Ohio,Franklin,2021,2022,17250,12005,-14986,2879,5245,-12107,-6797,1317560,65
