Year,ChangeType,PopChange
2010,Domestic Migration,-103
2010,International Migration,1000
2011,Domestic Migration,2939
2011,International Migration,4642
2012,Domestic Migration,4585
2012,International Migration,5555
2013,Domestic Migration,5614
2013,International Migration,7564
2014,Domestic Migration,5784
2014,International Migration,6489
2015,International Migration,7889
2015,Domestic Migration,4675
2016,International Migration,7949
2016,Domestic Migration,2232
2017,International Migration,6293
2017,Domestic Migration,8299
2018,International Migration,4125
2018,Domestic Migration,2810
2019,International Migration,3807
2019,Domestic Migration,46
2020,International Migration,197
2020,Domestic Migration,-498
2021,Domestic Migration,-9594
2021,International Migration,3090
